"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Lloydminster (CA), Alberta part, Alberta","20,118","20,002","20,173","20,313","20,372","20,403","20,345","20,746","21,244","21,324"
"Lloydminster (CA), Saskatchewan part, Saskatchewan","17,694","17,634","17,661","17,638","17,365","17,376","17,316","17,446","17,947","18,482"
"Medicine Hat (CA), Alberta","78,375","78,434","78,676","78,781","78,847","78,780","79,057","80,073","82,024","82,880"
"Brooks (CA), Alberta","14,808","14,826","14,894","15,184","15,403","15,420","15,407","15,813","16,409","16,698"
"Okotoks (CA), Alberta","29,705","29,949","30,116","30,617","31,042","31,362","31,467","32,099","32,654","32,992"
"High River (CA), Alberta","13,857","14,125","14,241","14,385","14,524","14,732","14,820","15,272","15,416","15,514"
"Strathmore (CA), Alberta","14,024","14,097","14,269","14,505","14,618","14,781","14,802","15,095","15,378","15,589"
"Canmore (CA), Alberta","14,377","14,806","15,164","15,680","16,096","16,617","17,091","17,623","18,056","17,897"
"Sylvan Lake (CA), Alberta","15,726","15,790","16,103","16,459","16,682","17,144","17,456","17,916","18,477","18,953"
"Lacombe (CA), Alberta","13,289","13,337","13,514","13,731","13,754","13,789","13,622","13,594","13,625","13,657"
"Camrose (CA), Alberta","19,142","19,135","19,290","19,331","19,286","19,344","19,387","19,607","19,908","20,071"
"Grande Prairie (CA), Alberta","65,119","65,096","66,905","67,497","67,514","66,628","66,029","67,727","70,308","72,120"
"Wood Buffalo (CA), Alberta","75,462","73,834","74,945","76,129","76,919","76,888","76,748","78,538","82,425","83,376"
"Wetaskiwin (CA), Alberta","12,861","13,023","13,054","13,033","12,942","12,963","12,807","12,799","12,932","13,032"
"Cranbrook (CA), British Columbia","27,023","27,273","27,534","27,932","28,034","28,197","28,613","29,248","29,660","29,713"
"Nelson (CA), British Columbia","18,944","19,016","19,192","19,423","19,646","19,877","20,002","20,230","20,227","20,182"
"Trail (CA), British Columbia","14,613","14,690","14,812","14,860","14,860","15,114","15,175","15,133","15,162","15,149"
"Penticton (CA), British Columbia","45,041","45,905","46,729","47,564","48,349","48,924","49,408","49,489","49,736","49,807"
"Vernon (CA), British Columbia","63,633","64,870","65,745","67,009","68,340","69,482","70,959","72,291","73,143","73,500"
"Salmon Arm (CA), British Columbia","18,461","18,930","19,251","19,665","19,923","20,357","20,640","20,892","21,070","21,216"
"Squamish (CA), British Columbia","20,896","21,715","22,559","23,543","24,535","25,538","27,661","28,564","29,381","29,752"
"Ladysmith (CA), British Columbia","15,000","15,285","15,518","15,685","15,800","16,009","16,337","16,404","16,547","16,679"
"Duncan (CA), British Columbia","46,087","46,968","47,726","48,319","48,724","49,241","49,934","50,161","50,730","51,122"
"Parksville (CA), British Columbia","29,580","30,453","30,615","30,984","31,262","31,767","32,097","32,282","32,452","32,525"
"Port Alberni (CA), British Columbia","25,505","25,674","25,909","26,183","26,401","26,726","27,088","27,308","27,528","27,672"
"Courtenay (CA), British Columbia","59,995","61,261","62,506","63,577","64,411","65,519","66,804","68,181","69,564","70,323"
